Title;Old Price;New Price
iPhone 7 APPLE (4.7'' - 2 GB - 32 GB - Preto);489,99;419,99
iPhone XR APPLE (6.1'' - 3 GB - 64 GB - Preto);;861,99
iPhone 8 APPLE (4.7'' - 2 GB - 64 GB - Prateado);719,99;599,99
iPhone 8 Plus APPLE (5.5'' - 3 GB - 64 GB - Cinzento sideral);;771,99
iPhone 7 APPLE (4.7'' - 2 GB - 32 GB - Rosa Dourado);489,99;419,99
iPhone 6s APPLE (4.7'' - 2 GB - 32 GB - Rosa Dourado);;349,99
iPhone 8 Plus APPLE (5.5'' - 3 GB - 64 GB - Dourado);;695,61
iPhone 7 APPLE (4.7'' - 2 GB - 32 GB - Dourado);489,99;419,99
iPhone XS Max APPLE (6.5'' - 4 GB - 64 GB - Dourado);;1201,00
iPhone XR APPLE (6.1'' - 3 GB - 64 GB - Vermelho);;836,99
iPhone 8 Plus APPLE (5.5'' - 3 GB - 64 GB - Prateado);;812,99
iPhone XR APPLE (6.1'' - 3 GB - 128 GB - Vermelho);;919,99
iPhone XS Max APPLE (6.5'' - 4 GB - 64 GB - Prateado);;1252,00
iPhone 7 Plus APPLE (5.5'' - 3 GB - 128 GB - Preto);779,99;669,99
iPhone XS APPLE (5.8'' - 4 GB - 256 GB - Cinzento Sideral);;1263,00
iPhone XS Max APPLE (6.5'' - 4 GB - 256 GB - Cinzento Sideral);;1419,00
iPhone 7 APPLE (4.7'' - 2 GB - 128 GB - Prateado);;616,99
iPhone 6s APPLE (4.7'' - 2 GB - 128 GB - Cinzento sideral);531,99;399,99
iPhone 6s Plus APPLE (5.5'' - 2 GB - 128 GB - Cinzento sideral);;628,99
iPhone 6s Plus APPLE (5.5'' - 2 GB - 128 GB - Prateado);;628,99
iPhone 7 Plus APPLE (5.5'' - 3 GB - 32 GB - Rosa Dourado);;599,00
iPhone 6s APPLE (4.7'' - 2 GB - 32 GB - Cinzento sideral);;374,90
iPhone XR APPLE (6.1'' - 3 GB - 128 GB - Preto);989,99;789,99
iPhone 6s APPLE (4.7'' - 1 GB - 64 GB - Dourado);;262,70
iPhone XS APPLE (5.8'' - 4 GB - 512 GB - Cinzento Sideral);1599,99;1220,99
iPhone 7 Plus APPLE (5.5'' - 3 GB - 32 GB - Preto);;549,99
iPhone 7 Plus APPLE (5.5'' - 3 GB - 32 GB - Prateado);;599,93
iPhone 7 Plus APPLE (5.5'' - 3 GB - 32 GB - Dourado);;597,15
iPhone XR APPLE (6.1'' - 3 GB - 64 GB - Branco);849,99;715,99
iPhone 6s APPLE (4.7'' - 2 GB - 32 GB - Prateado);;348,99
iPhone XR APPLE (6.1'' - 3 GB - 128 GB - Preto);989,99;789,99
iPhone XS Max APPLE (6.5'' - 4 GB - 256 GB - Dourado);;1529,05
iPhone 7 APPLE (4.7'' - 2 GB - 128 GB - Preto);729,99;609,99
iPhone XR APPLE (6.1'' - 3 GB - 64 GB - Preto);849,99;717,99
iPhone 8 Plus APPLE (5.5'' - 3 GB - 64 GB - Dourado);929,99;725,99
iPhone X APPLE (5.8'' - 3 GB - 64 GB - Prateado);1049,99;838,99
iPhone XR APPLE (6.1'' - 3 GB - 128 GB - Branco);989,99;788,99
iPhone 6s APPLE (4.7'' - 2 GB - 32 GB - Dourado);;374,90
iPhone XR APPLE (6.1'' - 3 GB - 64 GB - Amarelo);829,99;733,99
iPhone 7 APPLE (4.7'' - 2 GB - 128 GB - Rosa Dourado);;738,87
iPhone 6s APPLE (4.7'' - 2 GB - 32 GB - Cinzento sideral);;318,01
iPhone 7 APPLE (4.7'' - 2 GB - 128 GB - Dourado);;702,88
iPhone XS Max APPLE (6.5'' - 4 GB - 64 GB - Dourado);1329,99;1070,99
iPhone XR APPLE (6.1'' - 3 GB - 128 GB - Vermelho);989,99;790,99
iPhone 7 Plus APPLE (5.5'' - 3 GB - 32 GB - Preto);;493,83
iPhone XR APPLE (6.1'' - 3 GB - 64 GB - Vermelho);849,99;728,99
iPhone XS APPLE (5.8'' - 4 GB - 64 GB - Prateado);;1011,85
iPhone 8 APPLE (4.7'' - 2 GB - 64 GB - Dourado);;587,05
iPhone XR APPLE (6.1'' - 3 GB - 256 GB - Amarelo);;1029,00
iPhone XR APPLE (6.1'' - 3 GB - 256 GB - Preto);;1145,16
iPhone 8 Plus APPLE (5.5'' - 3 GB - 64 GB - Vermelho SE);;873,55
iPhone 7 Plus APPLE (5.5'' - 3 GB - 128 GB - Prateado);;774,94
iPhone 7 APPLE (4.7'' - 2 GB - 32 GB - Prateado);;502,90
iPhone 8 Plus APPLE (5.5'' - 3 GB - 256 GB - Prateado);;989,61
iPhone X APPLE (5.8'' - 3 GB - 256 GB - Cinzento sideral);;939,99
iPhone XR APPLE (6.1'' - 3 GB - 128 GB - Vermelho);989,99;790,99
iPhone XR APPLE (6.1'' - 3 GB - 64 GB - Branco);849,99;715,99
iPhone 7 Plus APPLE (5.5'' - 3 GB - 32 GB - Dourado);710,21;622,99
iPhone XS Max APPLE (6.5'' - 4 GB - 256 GB - Dourado);1449,99;1153,99
iPhone XS Max APPLE (6.5'' - 4 GB - 256 GB - Cinzento sideral);1449,99;1143,99
iPhone XS Max APPLE (6.5'' - 4 GB - 512 GB - Cinzento sideral);1629,99;1251,99
iPhone XS Max APPLE (6.5'' - 4 GB - 64 GB - Cinzento);1329,99;1068,99
