Title;Old Price;New Price
Apple iPhone 7 32GB - Semi-Novo - Grade A;350,00 ;299,00 
Apple iPhone 7 32GB - Grade B;;259,00 
Apple iPhone 8 64GB - Semi-Novo - Grade A;460,00 ;439,00 
Apple iPhone 8 Plus 64GB - Semi-Novo - Grade A;600,00 ;549,00 
Apple iPhone SE 64Gb - Semi Novo - Grade B;;199,00 
Apple iPhone SE 64Gb - Semi-Novo - Grade A;;229,00 
Apple iPhone 7 128GB - Semi-Novo - Grade A;400,00 ;329,00 
Apple iPhone 7 32GB - Grade B;;259,00 
Apple iPhone X 64GB - Semi-Novo - Grade A;700,00 ;649,00 
Apple iPhone 8 64GB - Semi-Novo - Grade A;460,00 ;439,00 
Apple iPhone X 256GB - Semi-Novo - Grade A;800,00 ;749,00 
Apple iPhone 7 32GB - Semi-Novo - Grade A;350,00 ;299,00 
Apple iPhone 7 Plus 128GB - Semi-Novo - Grade A;459,00 ;439,00 
Apple iPhone 8 Plus 64GB - Semi-Novo - Grade A;600,00 ;549,00 
Apple iPhone 7 32GB - Semi-Novo - Grade A;350,00 ;299,00 
Apple iPhone 7 Plus 128GB - Semi-Novo - Grade A;459,00 ;439,00 
Apple iPhone 7 128GB - Semi-Novo - Grade A;400,00 ;329,00 
Apple iPhone 7 128GB - Semi-Novo - Grade A;400,00 ;329,00 
Apple iPhone 7 128GB - Semi-Novo - Grade A;400,00 ;329,00 
Apple iPhone 7 128GB - Semi-Novo - Grade A;400,00 ;329,00 
Apple iPhone 7 128GB - Semi-Novo - Grade A;400,00 ;329,00 
